date, pm25
2016/5/10, 49
2016/5/11, 43
2016/5/12, 39
2016/5/13, 41
2016/5/14, 37
2016/5/15, 21
2016/5/16, 29
2016/5/17, 26
2016/5/18, 22
2016/5/19, 43
2016/5/20, 40
2016/5/21, 33
2016/5/22, 33
2016/5/23, 31
2016/5/24, 34
2016/5/25, 35
2016/5/26, 27
2016/5/27, 30
2016/5/28, 41
2016/5/29, 41
2016/5/30, 45
2016/5/31, 44
2016/6/1, 47
2016/6/2, 32
2016/6/3, 41
2016/6/4, 45
2016/6/5, 20
2016/6/6, 23
2016/6/7, 29
2016/6/8, 33
2016/6/9, 30
2016/6/10, 35
2016/6/11, 22
2016/6/12, 25
2016/6/13, 25
2016/6/14, 37
2016/6/15, 40
2016/6/16, 45
2016/6/17, 49
2016/6/18, 39
2016/6/19, 50
2016/6/20, 49
2016/6/21, 41
2016/6/22, 35
2016/6/23, 37
2016/6/24, 55
2016/6/25, 62
2016/6/26, 56
2016/6/27, 22
2016/6/28, 31
2016/6/29, 48
2016/6/30, 50
2016/1/4, 69
2016/1/5, 83
2016/1/6, 83
2016/1/7, 94
2016/1/8, 80
2016/1/9, 140
2016/1/10, 68
2016/1/11, 62
2016/1/12, 49
2016/1/13, 27
2016/1/14, 46
2016/1/15, 59
2016/1/16, 49
2016/1/17, 80
2016/1/18, 96
2016/1/19, 73
2016/1/20, 122
2016/1/21, 111
2016/1/22, 120
2016/1/23, 94
2016/1/24, 124
2016/1/25, 34
2016/1/26, 40
2016/1/27, 37
2016/1/28, 18
2016/1/29, 32
2016/1/30, 29
2016/1/31, 21
2016/2/1, 27
2016/2/2, 23
2016/2/3, 21
2016/2/4, 20
2016/2/5, 20
2016/2/6, 65
2016/2/7, 60
2016/2/8, 62
2016/2/9, 45
2016/2/10, 59
2016/2/11, 25
2016/2/12, 51
2016/2/13, 45
2016/2/14, 34
2016/2/15, 46
2016/2/16, 28
2016/2/17, 48
2016/2/18, 41
2016/2/19, 36
2016/2/20, 50
2016/2/21, 52
2016/2/22, 23
2016/2/23, 29
2016/2/24, 32
2016/2/25, 44
2016/2/26, 55
2016/2/27, 64
2016/2/28, 58
2016/2/29, 47
2016/3/1, 23
2016/3/2, 48
2016/3/3, 60
2016/3/4, 30
2016/3/5, 47
2016/3/6, 68
2016/3/7, 42
2016/3/8, 28
2016/3/9, 55
2016/3/10, 27
2016/3/11, 13
2016/3/12, 29
2016/3/13, 26
2016/3/14, 33
2016/3/15, 23
2016/3/16, 32
2016/3/17, 23
2016/3/18, 17
2016/3/19, 25
2016/3/20, 46
2016/3/21, 31
2016/3/22, 18
2016/3/23, 33
2016/3/24, 51
2016/3/25, 96
2016/3/26, 95
2016/3/27, 80
2016/3/28, 65
2016/3/29, 64
2016/3/30, 34
2016/3/31, 19
2015/10/1, 40
2015/10/2, 41
2015/10/3, 65
2015/10/4, 78
2015/10/5, 83
2015/10/6, 27
2015/10/7, 21
2015/10/8, 27
2015/10/9, 44
2015/10/10, 57
2015/10/11, 29
2015/10/12, 25
2015/10/13, 63
2015/10/14, 75
2015/10/15, 50
2015/10/16, 103
2015/10/17, 163
2015/10/18, 68
2015/10/19, 101
2015/10/20, 66
2015/10/21, 31
2015/10/22, 47
2015/10/23, 36
2015/10/24, 21
2015/10/25, 61
2015/10/26, 20
2015/10/27, 46
2015/10/28, 35
2015/10/29, 46
2015/10/30, 68
2015/10/31, 99
2015/11/1, 86
2015/11/2, 40
2015/11/3, 21
2015/11/4, 73
2015/11/5, 46
2015/11/6, 37
2015/11/7, 61
2015/11/8, 44
